run,bc,grade_deg,frame,bin,x_centre_m,depth_m
closed_g64,closed,0.0,40,9,7.115378,0.383983
closed_g64,closed,0.0,40,10,7.802380,0.637244
closed_g64,closed,0.0,40,11,8.489382,0.568386
closed_g64,closed,0.0,41,0,0.932360,
closed_g64,closed,0.0,41,1,1.619362,
closed_g64,closed,0.0,41,2,2.306364,0.190429
closed_g64,closed,0.0,41,3,2.993366,0.240610
closed_g64,closed,0.0,41,4,3.680368,0.269340
closed_g64,closed,0.0,41,5,4.367370,0.282987
closed_g64,closed,0.0,41,6,5.054372,0.289134
closed_g64,closed,0.0,41,7,5.741374,0.320776
closed_g64,closed,0.0,41,8,6.428376,0.304695
closed_g64,closed,0.0,41,9,7.115378,0.392543
closed_g64,closed,0.0,41,10,7.802380,0.624250
closed_g64,closed,0.0,41,11,8.489382,0.566920
closed_g64,closed,0.0,42,0,0.932360,
closed_g64,closed,0.0,42,1,1.619362,
closed_g64,closed,0.0,42,2,2.306364,0.183682
closed_g64,closed,0.0,42,3,2.993366,0.235179
closed_g64,closed,0.0,42,4,3.680368,0.270043
closed_g64,closed,0.0,42,5,4.367370,0.282411
closed_g64,closed,0.0,42,6,5.054372,0.289600
closed_g64,closed,0.0,42,7,5.741374,0.322516
closed_g64,closed,0.0,42,8,6.428376,0.300991
closed_g64,closed,0.0,42,9,7.115378,0.408275
closed_g64,closed,0.0,42,10,7.802380,0.620507
closed_g64,closed,0.0,42,11,8.489382,0.566478
